Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
scr1_hivmeds,screen_1_interview,,radio,"We know people sometimes decide not to start HIV medication, or they start and stop HIV medication. <br><br>In your whole life, have you ever taken HIV medication, also called antiretroviral therapy?","0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_firsthiv_6mths] = '0',y,,,,,
scr1_meds_past6wks,screen_1_interview,,radio,"Have you taken HIV medication or antiretroviral therapy at all in the past 6 weeks, since [scr1_before_date]?","0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_hivmeds] = '1',y,,,,,
scr1_meds_past6wks_q1,screen_1_interview,,slider,"<div class = ""red""><b>INTERVIEWER:</b>

If the participant says he/she took medication some of the time, or a lot of the time, ask him/ her to provide you with the number that best corresponds to their medication adherence patterns.</div>

Taking medications can be challenging. We want to ask you <u>how much</u> of your HIV medication you have taken in the past 6 weeks.

Please think about a scale that goes from 0, meaning you took none of your HIV medication in the past 6 weeks, to 100%, meaning you took every dose of your HIV medication as prescribed during this time.

We know people often have trouble taking their HIV medication 100% of the time, but may take it once in a while, more or less about half of the time, or they sometimes start and stop. Think about how much of time, overall, you took your HIV medication you took in the past 6 weeks.


How much of your HIV medication did you take in the past 6 weeks?",0% | 50% | 100%,,number,,,,[scr1_meds_past6wks] = '1',y,LH,,,,
scr1_meds_past6wks_q2,screen_1_interview,,radio,Did you take at least one HIV viral load test in the past 6 months?,"0, No | 1, Yes | 997, Don't Know",,,,,,[scr1_meds_past6wks] = '1',y,,,,,
scr1_meds_past6wks_q3,screen_1_interview,,radio,"We want to know the result of your last HIV viral load. Were you told the result of that viral load test was ""undetectable""?","0, No - not undetectable | 1, Yes - undetectable | 997, Don't Know result",,,,,,[scr1_meds_past6wks_q2] = '1',y,,,,,
scr1_provider,screen_1_interview,,radio,Have you ever seen a health care provider specifically for your HIV medical care?,"0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_hivstat] = '1' and [scr1_firsthiv_6mths] = '0' and ([scr1_meds_past6wks] != '1' or ([scr1_meds_past6wks_q1] >=0 and [scr1_meds_past6wks_q1] <= 50)),y,,,,,
scr1_appts,screen_1_interview,,text,"We know it can be hard to make it to health care appointments. In the past year, how many different times have you seen a health care provider specifically for your HIV medical care, if at all? <br> This does not include visits to the Emergency Room, or health care providers you saw for other conditions.<br><br><div class = ""red"">If you did not see an HIV care provider in the past year, just enter: 0.</div>",,,integer,,,,[scr1_provider] = '1',y,,,,,
scr1_appts_apart,screen_1_interview,,radio,"Think about these [scr1_appts] of appointments you attended for HIV Care. Were 2 of them at least 3 months apart, as far as you remember?<br><br><div class = ""red""><b>INTERVIEWER:</b><br> The appointments should be grouped together for the participant to be eligible.","0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_appts] > 2,y,,,,,
scr1_appts_miss_year,screen_1_interview,,radio,"We know people sometimes have to miss their scheduled appointments without cancelling in advance. In the past year, how many appointments with your HIV health care provider have you missed?","0, Never missed an appointment | 1, Once in the past year | 2, Twice in the past year | 3, Three or more times in the past year | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_provider] = '1' and [scr1_firsthiv_recently] = '0',y,,,,,
scr1_appts_miss_recently,screen_1_interview,,radio,"We know people sometimes have to miss their scheduled appointments without cancelling in advance. In the past six months, how many appointments with your HIV health care provider have you missed?","0, Never missed an appointment | 1, Once in the past six months | 2, Twice in the past six months | 3, Three or more times in the past six months | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_provider] = '1' and [scr1_firsthiv_recently] = '1',y,,,,,
scr1_noises,screen_1_interview,,radio,"During the past month, how often have you heard noises or voices that other people say they can't hear?","0, Never | 1, Almost Never | 2, Sometimes | 3, Fairly often | 4, Very often | 998, Refuse to Answer",,,,,,([scr1_meds_past6wks] != '1' or ([scr1_meds_past6wks_q1] >=0 and [scr1_meds_past6wks_q1] <= 50)) and ([scr1_provider] = '0' OR (([scr1_firsthiv_recently] = '1' and ([scr1_appts] = 0 or [scr1_appts_miss_recently] > '0')) or ([scr1_firsthiv_recently] = '0' and ([scr1_appts] < 3 or [scr1_appts_apart] = '0' or [scr1_appts_miss_year] > '1')))),y,,,,,
scr1_recommend,screen_1_interview,,radio,"Now we would like to ask about your experience with this interview. How likely would you be to recommend this interview to someone else?","1, not at all likely | 2, somewhat likely | 3, very likely | 4, completely likely",,,,,,,y,,,,,
scr1_ineligibles,screen_1_interview,,radio,"Are any of the following true, making the participant ineligible for the study?","1, Person participated in HTH1 | 2, Participant is already enrolled in HTH2 | 3, Participant disclosed info that makes him/ her ineligible | 4, Other | 5, Not Applicable",,,,,,,y,,,,,
scr1_ineligibles_other,screen_1_interview,,text,Please specify:,,,,,,,[scr1_ineligibles] = '4',y,,,,,
scr1_rand_descr3,screen_1_interview,,descriptive,"<center><div class= ""red""><h4><strong>
MAKE THE CORRECT AGE SELECTION ABOVE TO CONTINUE
</strong></h4></div></center>
",,,,,,,([scr1_auto_age] < 36 and [rand_condition] = '2') or ([scr1_auto_age] >= 36 and [rand_condition] = '1'),,,,,,
scr1_notif_ie,screen_1_interview,"<div class=""red""><center><strong> FOR THE INTERVIEWER ONLY: </center></strong></div>",descriptive,"Participant is 

<div class = ""red""><font color= ""red""><h3><strong><center>INELIGIBLE </center></strong></font></h3></div>

That's the end of the interview. Thank you so much for your time, and for telling us about yourself.
You are <font color = ""red""><strong>Not Eligible</strong></font> for the other part of the study.",,,,,,,([scr1_prescr_consent] = '0' or ([scr1_hth1] = '1' or [scr1_hth1] = '998') or ([scr1_auto_age] < 18 or [scr1_auto_age] > 65) or ([scr1_livingin] = '6' or [scr1_livingin] = '998') or [scr1_leave] = '1' or (([scr1_ethnicity] = '0' or [scr1_ethnicity] = '998') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1') and [scr1_race(c)] != '1') or [scr1_lang] != '1' or [scr1_hivstat] = '0' or [scr1_firsthiv_6mths] = '1' or [scr1_meds_past6wks_q1] > 50 or ([scr1_firsthiv_recently] = '1' and [scr1_appts] > 0 and [scr1_appts_miss_recently] < '1') or ([scr1_firsthiv_recently] = '0' and [scr1_appts] > 2 and [scr1_appts_apart] = '1' and ([scr1_appts_miss_year] = '0' or [scr1_appts_miss_year] = '1')) or ([scr1_noises] = '3' or [scr1_noises] = '4' or [scr1_noises] = '998') or ([scr1_ineligibles] = '1' or [scr1_ineligibles] = '2' or [scr1_ineligibles] = '3' or [scr1_ineligibles] = '4')) and (([scr1_auto_age] < 36 and [rand_condition] = '1') or ([scr1_auto_age] >= 36 and [rand_condition] = '2')),,,,,,
scr1_notif_e,screen_1_interview,,descriptive,"Participant is 

<div class = ""green""><font color=""green""><h3><center><strong>ELIGIBLE</strong></center></h3></font></div>",,,,,,,[scr1_prescr_consent] = '1' and ([scr1_hth1] = '0' or [scr1_hth1] = '997') and (([scr1_auto_age] > 18 or [scr1_auto_age] = 18) and ([scr1_auto_age] < 65 or [scr1_auto_age] = 65)) and ([scr1_livingin] = '0' or [scr1_livingin] = '1' or [scr1_livingin] = '2' or [scr1_livingin] = '3' or [scr1_livingin] = '4' or [scr1_livingin] = '5') and [scr1_leave] != '1' and (([scr1_race(c)] = '1' or [scr1_ethnicity] = '1') or (([scr1_race(c)] = '1') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1'))) and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and ([scr1_meds_past6wks] = '0' or ([scr1_meds_past6wks_q1] >= 0 and [scr1_meds_past6wks_q1] <= 50)) and ([scr1_provider] = '0' or (([scr1_firsthiv_recently] = '1' and ([scr1_appts] = 0 or [scr1_appts_miss_recently] > '0')) or ([scr1_firsthiv_recently] = '0' and ([scr1_appts] < 3 or [scr1_appts_apart] = '0' or [scr1_appts_miss_year] > '1')))) and ([scr1_noises] = '0' or [scr1_noises] = '1' or [scr1_noises] = '2') and [scr1_ineligibles] = '5' and (([scr1_auto_age] < 36 and [rand_condition] = '1') or ([scr1_auto_age] >= 36 and [rand_condition] = '2')),,,,,,
scr1_eligibility,screen_1_interview,,radio,Is the participant:,"0, Ineligible | 1, Eligible",,,,,,([scr1_auto_age] < 36 and [rand_condition] = '1') or ([scr1_auto_age] >= 36 and [rand_condition] = '2'),y,,,,,
scr1_e_wrong_notif,screen_1_interview,,descriptive,"<center><div class = ""red""><br><br><h3>PLEASE CHECK THE ELIGIBILITY STATUS - 
<b>THE PARTICIPANT SHOULD BE <font color =""green""><u>ELIGIBLE</u></font></h3></b><br><br></div></center>",,,,,,,[scr1_prescr_consent] = '1' and ([scr1_hth1] = '0' or [scr1_hth1] = '997') and (([scr1_auto_age] > 18 or [scr1_auto_age] = 18) and ([scr1_auto_age] < 65 or [scr1_auto_age] = 65)) and ([scr1_livingin] = '0' or [scr1_livingin] = '1' or [scr1_livingin] = '2' or [scr1_livingin] = '3' or [scr1_livingin] = '4' or [scr1_livingin] = '5') and [scr1_leave] != '1' and (([scr1_race(c)] = '1' or [scr1_ethnicity] = '1') or (([scr1_race(c)] = '1') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1'))) and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and ([scr1_meds_past6wks] = '0' or ([scr1_meds_past6wks_q1] >= 0 and [scr1_meds_past6wks_q1] <= 50)) and ([scr1_provider] = '0' or (([scr1_firsthiv_recently] = '1' and ([scr1_appts] = 0 or [scr1_appts_miss_recently] > '0')) or ([scr1_firsthiv_recently] = '0' and ([scr1_appts] < 3 or [scr1_appts_apart] = '0' or [scr1_appts_miss_year] > '1')))) and ([scr1_noises] = '0' or [scr1_noises] = '1' or [scr1_noises] = '2') and [scr1_ineligibles] = '5' and [scr1_eligibility] = '0',,,,,,
scr1_ie_wrong_notif,screen_1_interview,,descriptive,"<center><div class = ""red""><br><br><h3>PLEASE CHECK THE ELIGIBILITY STATUS - 
<b>THE PARTICIPANT SHOULD BE <u>INELIGIBLE</u></b><br><br></h3></div></center>",,,,,,,([scr1_prescr_consent] = '0' or ([scr1_hth1] = '1' or [scr1_hth1] = '998') or ([scr1_auto_age] < 18 or [scr1_auto_age] > 65) or ([scr1_livingin] = '6' or [scr1_livingin] = '998') or [scr1_leave] = '1' or (([scr1_ethnicity] = '0' or [scr1_ethnicity] = '998') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1') and [scr1_race(c)] != '1') or [scr1_lang] != '1' or [scr1_hivstat] = '0' or [scr1_firsthiv_6mths] = '1' or [scr1_meds_past6wks_q1] > 50 or ([scr1_firsthiv_recently] = '1' and [scr1_appts] > 0 and [scr1_appts_miss_recently] < '1') or ([scr1_firsthiv_recently] = '0' and [scr1_appts] > 2 and [scr1_appts_apart] = '1' and ([scr1_appts_miss_year] = '0' or [scr1_appts_miss_year] = '1')) or ([scr1_noises] = '3' or [scr1_noises] = '4' or [scr1_noises] = '998') or ([scr1_ineligibles] = '1' or [scr1_ineligibles] = '2' or [scr1_ineligibles] = '3' or [scr1_ineligibles] = '4')) and [scr1_eligibility] = '1',,,,,,
scr1_notif_end,screen_1_interview,,descriptive,"<center><h4><br>That's the end of the interview.<br>Thank you so much for your time, and for telling us about yourself.<br><br>You are <font color = ""green"">eligible</font> for another part of the study, and I will explain what that involves next.</h4></center>",,,,,,,[scr1_eligibility] = '1' and [scr1_prescr_consent] = '1' and ([scr1_hth1] = '0' or [scr1_hth1] = '997') and (([scr1_auto_age] > 18 or [scr1_auto_age] = 18) and ([scr1_auto_age] < 65 or [scr1_auto_age] = 65)) and ([scr1_livingin] = '0' or [scr1_livingin] = '1' or [scr1_livingin] = '2' or [scr1_livingin] = '3' or [scr1_livingin] = '4' or [scr1_livingin] = '5') and [scr1_leave] != '1' and (([scr1_race(c)] = '1' or [scr1_ethnicity] = '1') or (([scr1_race(c)] = '1') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1'))) and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and ([scr1_meds_past6wks] = '0' or ([scr1_meds_past6wks_q1] >= 0 and [scr1_meds_past6wks_q1] <= 50)) and ([scr1_provider] = '0' or (([scr1_firsthiv_recently] = '1' and ([scr1_appts] = 0 or [scr1_appts_miss_recently] > '0')) or ([scr1_firsthiv_recently] = '0' and ([scr1_appts] < 3 or [scr1_appts_apart] = '0' or [scr1_appts_miss_year] > '1')))) and ([scr1_noises] = '0' or [scr1_noises] = '1' or [scr1_noises] = '2') and [scr1_ineligibles] = '5',,,,,,
scr1_elig_descr,screen_1_interview,,descriptive,"<div class = ""green""><b>NOTE:</b><br>The following questions are only for <b><font color=""green"">ELIGIBLE</font></b> participants </div>",,,,,,,[scr1_eligibility] = '1' and [scr1_prescr_consent] = '1' and ([scr1_hth1] = '0' or [scr1_hth1] = '997') and (([scr1_auto_age] > 18 or [scr1_auto_age] = 18) and ([scr1_auto_age] < 65 or [scr1_auto_age] = 65)) and ([scr1_livingin] = '0' or [scr1_livingin] = '1' or [scr1_livingin] = '2' or [scr1_livingin] = '3' or [scr1_livingin] = '4' or [scr1_livingin] = '5') and [scr1_leave] != '1' and (([scr1_race(c)] = '1' or [scr1_ethnicity] = '1') or (([scr1_race(c)] = '1') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1'))) and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and ([scr1_meds_past6wks] = '0' or ([scr1_meds_past6wks_q1] >= 0 and [scr1_meds_past6wks_q1] <= 50)) and ([scr1_provider] = '0' or (([scr1_firsthiv_recently] = '1' and ([scr1_appts] = 0 or [scr1_appts_miss_recently] > '0')) or ([scr1_firsthiv_recently] = '0' and ([scr1_appts] < 3 or [scr1_appts_apart] = '0' or [scr1_appts_miss_year] > '1')))) and ([scr1_noises] = '0' or [scr1_noises] = '1' or [scr1_noises] = '2') and [scr1_ineligibles] = '5',,,,,,
scr1_docs,screen_1_interview,,radio,"Do you have written documentation of your HIV status with you today and would you be willing to show it to the interviewer now? <br><br>It could be your M11Q form, a letter from your testing site with your name, documentation of ADAP coverage in your name, copy of your most recent lab results or medical records or your past or current HIV medications.","0, No | 1, Yes | 997, Don't Know | 998, Refuse to Answer",,,,,,[scr1_eligibility] = '1' and [scr1_loc] <> '0' and [scr1_prescr_consent] = '1' and ([scr1_hth1] = '0' or [scr1_hth1] = '997') and (([scr1_auto_age] > 18 or [scr1_auto_age] = 18) and ([scr1_auto_age] < 65 or [scr1_auto_age] = 65)) and ([scr1_livingin] = '0' or [scr1_livingin] = '1' or [scr1_livingin] = '2' or [scr1_livingin] = '3' or [scr1_livingin] = '4' or [scr1_livingin] = '5') and [scr1_leave] != '1' and (([scr1_race(c)] = '1' or [scr1_ethnicity] = '1') or (([scr1_race(c)] = '1') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1'))) and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and ([scr1_meds_past6wks] = '0' or ([scr1_meds_past6wks_q1] >= 0 and [scr1_meds_past6wks_q1] <= 50)) and ([scr1_provider] = '0' or (([scr1_firsthiv_recently] = '1' and ([scr1_appts] = 0 or [scr1_appts_miss_recently] > '0')) or ([scr1_firsthiv_recently] = '0' and ([scr1_appts] < 3 or [scr1_appts_apart] = '0' or [scr1_appts_miss_year] > '1')))) and ([scr1_noises] = '0' or [scr1_noises] = '1' or [scr1_noises] = '2') and [scr1_ineligibles] = '5',y,,,,,
scr1_docs_choices,screen_1_interview,,radio,Select the written documentation you have seen of participant HIV status,"2, ADAP coverage in participant's name | 3, HIV Lab results | 4, Full Medical Record with diagnosis and name | 5, HIV meds or prescription w/ participant's name | 6, Other | 999, Not Applicable",NEED TO ADD answer choices 0 and 1,,,,,[scr1_docs] = '1',y,,,,,
scr1_docs_other,screen_1_interview,,text,"Please write the name of the written document you have seen that document's the participant's HIV status. <br><br><div class = ""red""><b>Do not write participant's name or other identifying information</b></div>
",,,,,,,[scr1_docs_choices] = '6',y,,,,,
scr1_docs_notice,screen_1_interview,,radio,"One thing we will need is some kind of documentation of your HIV status. <br>It could be your M11Q form, a letter from your testing site with your name, documentation of ADAP coverage in your name, copy of your most recent lab results or medical records or your past or current HIV medications.<br><br>Would you be willing and able to provide written documentation of your HIV status later to participate in another part of this study?
","0, No | 1, Yes | 998, Refuse to Answer | 999, Not Applicable",,,,,,[scr1_eligibility] = '1' and ([scr1_docs] = '0' or [scr1_loc] = '0') and [scr1_prescr_consent] = '1' and ([scr1_hth1] = '0' or [scr1_hth1] = '997') and (([scr1_auto_age] > 18 or [scr1_auto_age] = 18) and ([scr1_auto_age] < 65 or [scr1_auto_age] = 65)) and ([scr1_livingin] = '0' or [scr1_livingin] = '1' or [scr1_livingin] = '2' or [scr1_livingin] = '3' or [scr1_livingin] = '4' or [scr1_livingin] = '5') and [scr1_leave] != '1' and (([scr1_race(c)] = '1' or [scr1_ethnicity] = '1') or (([scr1_race(c)] = '1') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1'))) and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and ([scr1_meds_past6wks] = '0' or ([scr1_meds_past6wks_q1] >= 0 and [scr1_meds_past6wks_q1] <= 50)) and ([scr1_provider] = '0' or (([scr1_firsthiv_recently] = '1' and ([scr1_appts] = 0 or [scr1_appts_miss_recently] > '0')) or ([scr1_firsthiv_recently] = '0' and ([scr1_appts] < 3 or [scr1_appts_apart] = '0' or [scr1_appts_miss_year] > '1')))) and ([scr1_noises] = '0' or [scr1_noises] = '1' or [scr1_noises] = '2') and [scr1_ineligibles] = '5',y,,,,,
scr1_lname,screen_1_interview,,text,What is your LAST name?,,,,,,y,[scr1_eligibility] = '1' and [scr1_prescr_consent] = '1' and ([scr1_hth1] = '0' or [scr1_hth1] = '997') and (([scr1_auto_age] > 18 or [scr1_auto_age] = 18) and ([scr1_auto_age] < 65 or [scr1_auto_age] = 65)) and ([scr1_livingin] = '0' or [scr1_livingin] = '1' or [scr1_livingin] = '2' or [scr1_livingin] = '3' or [scr1_livingin] = '4' or [scr1_livingin] = '5') and [scr1_leave] != '1' and (([scr1_race(c)] = '1' or [scr1_ethnicity] = '1') or (([scr1_race(c)] = '1') and ([scr1_race(a)] = '1' or [scr1_race(b)] = '1' or [scr1_race(d)] = '1' or [scr1_race(e)] = '1' or [scr1_race(f)] = '1' or [scr1_race(g)] = '1'))) and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and [scr1_lang] = '1' and [scr1_hivstat] = '1' and [scr1_firsthiv_6mths] != '1' and ([scr1_meds_past6wks] = '0' or ([scr1_meds_past6wks_q1] >= 0 and [scr1_meds_past6wks_q1] <= 50)) and ([scr1_provider] = '0' or (([scr1_firsthiv_recently] = '1' and ([scr1_appts] = 0 or [scr1_appts_miss_recently] > '0')) or ([scr1_firsthiv_recently] = '0' and ([scr1_appts] < 3 or [scr1_appts_apart] = '0' or [scr1_appts_miss_year] > '1')))) and ([scr1_noises] = '0' or [scr1_noises] = '1' or [scr1_noises] = '2') and [scr1_ineligibles] = '5',y,,,,,
